brand,price,year,currency,country,zip_code,odometer,service_history,doy,moy
Toyota Hiace,56507,2023,AUD,australia,3350,64901,n,1,12
Volkswagen California,16603,2024,AUD,australia,6000,57003,y,325,1
Mercedes-Benz Sprinter,16586,2018,AUD,australia,2300,84057,n,350,7
Dodge Ram Promaster,36037,2025,AUD,australia,3500,77014,y,230,6
Chevrolet Express,19922,2015,AUD,australia,3550,82880,n,30,9
Mercedes-Benz Sprinter,26324,2023,AUD,australia,4810,74424,y,108,4
Toyota Hiace,55597,2018,AUD,australia,4217,79931,y,284,2
Volkswagen California,55623,2016,AUD,australia,6230,96991,y,202,12
Mercedes-Benz Sprinter,12775,2017,AUD,australia,4670,53382,n,341,7
Volkswagen California,46912,2016,AUD,australia,3630,52474,n,259,8
Ford Transit,30774,2016,AUD,australia,4655,99327,n,274,8
Nissan NV200,50961,2016,AUD,australia,4217,55982,y,180,3
Hymer Aktiv,20699,2024,AUD,australia,2830,69022,n,267,8
Mercedes-Benz Sprinter,12838,2023,AUD,australia,4217,83225,n,194,12
Mercedes-Benz Sprinter,46357,2022,AUD,australia,2000,87053,y,235,7
Fiat Ducato,57003,2025,AUD,australia,7250,71813,y,134,8
Ford Transit,40209,2017,AUD,australia,4810,56173,n,38,5
Dodge Ram Promaster,37298,2020,AUD,australia,3550,94754,y,230,4
Dodge Ram Promaster,52162,2024,AUD,australia,2000,74615,y,281,12
Chevrolet Express,51640,2024,AUD,australia,2300,97589,y,106,6
Toyota Hiace,24845,2023,AUD,australia,4670,96110,y,228,3
Toyota Hiace,47512,2023,AUD,australia,6230,84309,y,71,11
Nissan NV200,37827,2017,AUD,australia,3220,64719,n,24,2
Toyota Hiace,25949,2018,AUD,australia,4551,79728,y,106,6
Volkswagen Westfalia,36300,2024,AUD,australia,3500,59368,n,296,12
Ford Transit,45659,2024,AUD,australia,4000,64239,n,205,13
Fiat Ducato,28801,2025,AUD,australia,7250,94226,n,269,2
Fiat Ducato,28299,2017,AUD,australia,2450,94578,y,333,10
Volkswagen Westfalia,55434,2025,AUD,australia,2450,59373,y,337,11
Nissan NV200,39406,2015,AUD,australia,2600,78190,n,357,1
Volkswagen Westfalia,36167,2023,AUD,australia,3550,99145,n,81,12
Hymer Aktiv,48478,2021,AUD,australia,2650,84309,y,22,11
Mercedes-Benz Sprinter,57863,2017,AUD,australia,6000,96772,n,167,12
Chevrolet Express,28852,2022,AUD,australia,3350,81394,y,42,6
Fiat Ducato,23291,2018,AUD,australia,5000,65380,n,124,4
Hymer Aktiv,37712,2022,AUD,australia,4700,55286,y,326,9
Hymer Aktiv,15241,2020,AUD,australia,2450,74753,y,229,11
Volkswagen California,43709,2019,AUD,australia,3630,76292,y,179,4
Fiat Ducato,34794,2020,AUD,australia,2600,93559,y,197,5
Chevrolet Express,47628,2015,AUD,australia,4670,56573,y,88,12
Hymer Aktiv,46149,2022,AUD,australia,2640,87477,y,91,7
Volkswagen California,43478,2024,AUD,australia,4000,91715,n,246,4
Nissan NV200,59701,2018,AUD,australia,2650,98044,n,15,13
Fiat Ducato,42382,2019,AUD,australia,2500,75178,n,66,10
Dodge Ram Promaster,18319,2023,AUD,australia,3000,99578,n,359,7
Nissan NV200,43012,2016,AUD,australia,4350,84781,n,132,7
Toyota Hiace,27024,2021,AUD,australia,2640,71519,y,279,9
Volkswagen California,40461,2017,AUD,australia,3630,76412,y,230,13
Volkswagen Westfalia,40200,2021,AUD,australia,4810,98762,n,299,3
Dodge Ram Promaster,26794,2019,AUD,australia,7250,66234,n,83,10
Hymer Aktiv,47323,2018,AUD,australia,2300,86580,n,213,9
Toyota Hiace,32669,2015,AUD,australia,4700,82456,n,296,13
Ford Transit,10623,2017,AUD,australia,2500,81311,n,360,9
Hymer Aktiv,51957,2017,AUD,australia,2450,83632,n,227,4
Nissan NV200,19693,2017,AUD,australia,2450,55903,n,82,2
Chevrolet Express,46923,2016,AUD,australia,3000,95015,y,210,8
Volkswagen Westfalia,36221,2020,AUD,australia,2300,95634,y,219,11
Chevrolet Express,49209,2023,AUD,australia,2450,74046,y,47,13
Volkswagen California,17975,2024,AUD,australia,4217,52403,n,36,10
Chevrolet Express,34947,2015,AUD,australia,4655,68129,y,307,3
Ford Transit,28263,2019,AUD,australia,6230,66396,n,186,13
