iter	RMSE
0	70734.92974
1	66783.2328
2	63420.16228
3	60287.24499
4	57219.16334
5	54418.05655
6	51792.9772
7	49567.91397
8	47670.63242
9	45768.66258
10	44142.11674
11	42439.81423
12	40918.30933
13	39479.47077
14	38188.92263
15	37005.56772
16	35760.41985
17	34682.30177
18	33677.0733
19	32800.40439
20	31939.61674
21	31732.5847
22	31196.25649
23	30459.39767
24	29853.10299
25	29256.20436
26	28713.38352
27	28192.27449
28	27653.34941
29	27122.26827
30	26634.15063
31	26150.02866
32	25706.04402
33	25630.24586
34	25310.36191
35	24890.6271
36	24581.0324
37	24390.40186
38	24118.62544
39	23878.11271
40	23812.73505
41	23652.70165
42	23431.81102
43	23374.97435
44	23312.44935
45	23250.02636
46	23188.64666
47	23136.14026
48	22907.41169
49	22843.27772
50	22755.89929
51	22711.25727
52	22667.94947
53	22616.94282
54	22553.56254
55	22346.04474
56	22294.40894
57	22202.10068
58	22155.08754
59	22099.41289
60	21896.98018
61	21838.38467
62	21796.03159
63	21756.4254
64	21717.70723
65	21679.03118
66	21628.30172
67	21311.02402
68	21261.15186
69	21184.43153
70	21118.9893
71	21087.08702
72	21023.26969
73	20806.46346
74	20771.83433
75	20515.09903
76	20483.92236
77	20457.35261
78	20430.2136
79	20351.09152
80	20328.04554
81	20058.44252
82	19837.00987
83	19808.66654
84	19770.03864
85	19745.01018
86	19529.54071
87	19476.49213
88	19218.00801
89	19193.66501
90	19168.41572
91	18941.21827
92	18919.57231
93	18735.42661
94	18613.38389
95	18589.53869
96	18576.75149
97	18558.06907
98	18526.33238
99	18332.2171
100	18316.09043
101	18300.3649
102	18285.88246
103	18270.89049
104	18063.81695
105	18051.4174
106	18037.29794
107	18013.10023
108	17902.36334
109	17742.68662
110	17598.39895
111	17585.04673
112	17440.12951
113	17314.20156
114	17292.28242
115	17117.22738
116	16980.3279
117	16965.50078
118	16903.5923
119	16811.02246
120	16799.97854
121	16784.64201
122	16690.30514
123	16558.03587
124	16445.0042
125	16334.02937
126	16319.71061
127	16207.25734
128	16131.23625
129	16031.57181
130	15999.4348
131	15971.53748
132	15881.85446
133	15779.24645
134	15748.13638
135	15738.6132
136	15716.72637
137	15640.42958
138	15630.04685
139	15507.32953
140	15500.03509
141	15376.87755
142	15299.92746
143	15292.94936
144	15283.92554
145	15272.96892
146	15259.70135
147	15253.12731
148	15179.50605
149	15173.24538
150	15059.9307
151	15046.72873
152	15029.98428
153	14927.11658
154	14919.43297
155	14843.53905
156	14745.82681
157	14641.07552
158	14596.66888
159	14497.94469
160	14482.14787
161	14357.81525
162	14266.98434
163	14240.98871
164	14156.98634
165	14144.82066
166	14072.46573
167	13991.70773
168	13958.59421
169	13906.1993
170	13821.03742
171	13812.00082
172	13739.91421
173	13718.95127
174	13645.78619
175	13573.09484
176	13492.55371
177	13485.74685
178	13459.21341
179	13453.168
180	13359.99148
181	13298.96909
182	13248.58856
183	13188.57804
184	13109.89674
185	13032.26293
186	12994.86814
187	12973.38288
188	12947.36679
189	12834.81468
190	12807.14762
191	12760.22618
192	12711.63077
193	12651.55747
194	12578.75903
195	12485.883
196	12433.65414
197	12361.6505
198	12300.94902
199	12229.06566
200	12166.84055
201	12156.27195
202	12112.87612
203	12075.18588
204	12031.4245
205	11981.25617
206	11949.28389
207	11936.17387
208	11897.26003
209	11835.28593
210	11794.48647
211	11725.04478
212	11714.7464
213	11661.92915
214	11613.04332
215	11560.20434
216	11513.80219
217	11481.99922
218	11415.72792
219	11370.78927
220	11345.19005
221	11287.82893
222	11267.21135
223	11230.47689
224	11182.91813
225	11140.36541
226	11084.91042
227	11042.40195
228	11012.2791
229	10967.27154
230	10921.86208
231	10878.69859
232	10842.14879
233	10795.22284
234	10771.17741
235	10726.23325
236	10695.60838
237	10619.38981
238	10572.73321
239	10559.65006
240	10523.43387
241	10489.88617
242	10449.36064
243	10398.57967
244	10387.78778
245	10332.69359
246	10305.10531
247	10266.9959
248	10236.19537
249	10203.70604
250	10171.78447
251	10139.04426
252	10107.63081
253	10053.7438
254	10014.07918
255	9995.735374
256	9969.033249
257	9931.315019
258	9883.873013
259	9876.9289
260	9814.069201
261	9785.936228
262	9767.646286
263	9757.245306
264	9732.635324
265	9672.54226
