iter	Passed	Remaining
0	4	1089
1	8	1086
2	13	1110
3	17	1097
4	22	1082
5	26	1076
6	30	1070
7	35	1066
8	39	1064
9	44	1056
10	48	1047
11	52	1043
12	56	1035
13	60	1028
14	64	1017
15	69	1012
16	73	1011
17	77	1003
18	82	1005
19	86	998
20	90	991
21	95	987
22	99	984
23	103	978
24	108	977
25	112	970
26	117	966
27	120	958
28	125	952
29	129	948
30	133	941
31	137	939
32	142	934
33	146	928
34	150	921
35	154	916
36	158	911
37	162	908
38	166	901
39	171	898
40	175	894
41	179	888
42	180	868
43	184	862
44	188	858
45	192	854
46	196	850
47	201	846
48	205	841
49	209	838
50	214	835
51	218	831
52	222	827
53	227	824
54	231	821
55	235	816
56	240	812
57	243	807
58	248	805
59	252	800
60	256	796
61	261	792
62	265	788
63	268	779
64	272	774
65	276	770
66	280	766
67	285	763
68	289	760
69	294	756
70	298	751
71	300	742
72	305	740
73	310	737
74	315	735
75	316	724
76	321	723
77	326	721
78	328	710
79	330	703
80	334	698
81	339	696
82	344	693
83	349	691
84	354	689
85	360	687
86	365	685
87	370	682
88	375	679
89	380	675
90	385	672
91	389	669
92	394	665
93	398	660
94	402	657
95	406	652
96	410	648
97	415	645
98	420	640
99	424	636
100	428	632
101	432	628
102	441	629
103	445	625
104	449	620
105	453	615
106	457	611
107	461	606
108	466	602
109	470	598
110	474	594
111	479	590
112	481	583
113	486	580
114	491	576
115	495	572
116	499	567
117	503	563
118	508	559
119	512	555
120	517	551
121	521	547
122	525	542
123	529	538
124	533	533
125	538	529
126	542	525
127	547	521
128	550	516
129	555	512
130	559	508
131	563	504
132	567	499
133	572	495
134	576	491
135	580	486
136	585	482
137	590	478
138	594	474
139	598	470
140	602	466
141	607	461
142	611	457
143	615	453
144	620	448
145	624	444
146	628	440
147	633	436
148	638	432
149	642	428
150	646	424
151	651	420
152	655	415
153	659	411
154	664	406
155	668	402
156	672	398
157	676	394
158	681	389
159	685	385
160	690	381
161	694	377
162	699	373
163	703	368
164	707	364
165	711	359
166	716	355
167	720	351
168	724	347
169	728	342
170	732	338
171	736	334
172	740	329
173	745	325
174	749	321
175	754	317
176	758	312
177	762	308
178	766	304
179	771	299
180	775	295
181	779	291
182	784	287
183	788	282
184	792	278
185	797	274
186	801	269
187	805	265
188	809	261
189	814	257
190	818	252
191	822	248
192	827	244
193	831	240
194	836	235
195	840	231
196	844	227
197	849	223
198	853	218
199	858	214
200	862	210
201	866	206
202	871	201
203	875	197
204	879	193
205	883	188
206	887	184
207	892	180
208	896	175
209	900	171
210	904	167
211	909	162
212	913	158
213	917	154
214	921	149
215	925	145
216	929	141
217	934	137
218	938	132
219	942	128
220	946	124
221	950	119
222	955	115
223	959	111
224	966	107
225	973	103
226	977	99
227	982	94
228	986	90
229	991	86
230	996	81
231	1000	77
232	1005	73
233	1010	69
234	1015	64
235	1020	60
236	1024	56
237	1029	51
238	1034	47
239	1039	43
240	1044	39
241	1049	34
242	1053	30
243	1058	26
244	1063	21
245	1068	17
246	1072	13
247	1077	8
248	1082	4
249	1087	0
