iter	Passed	Remaining
0	5	2445
1	10	2371
2	15	2299
3	20	2306
4	25	2295
5	30	2293
6	35	2280
7	40	2279
8	45	2279
9	50	2287
10	55	2290
11	60	2273
12	66	2283
13	71	2292
14	78	2325
15	83	2316
16	88	2317
17	93	2312
18	98	2302
19	103	2288
20	108	2288
21	114	2282
22	119	2271
23	124	2269
24	129	2266
25	134	2260
26	139	2253
27	144	2241
28	150	2245
29	155	2243
30	161	2241
31	166	2233
32	171	2230
33	177	2228
34	182	2228
35	187	2224
36	193	2218
37	198	2214
38	203	2208
39	209	2205
40	214	2202
41	219	2194
42	224	2185
43	229	2180
44	234	2176
45	240	2178
46	246	2174
47	251	2170
48	256	2165
49	262	2162
50	268	2161
51	273	2157
52	279	2153
53	284	2149
54	289	2145
55	295	2144
56	301	2139
57	306	2135
58	313	2140
59	320	2144
60	326	2143
61	331	2138
62	336	2133
63	342	2128
64	348	2126
65	353	2119
66	359	2116
67	364	2112
68	370	2108
69	375	2102
70	381	2098
71	386	2095
72	392	2091
73	398	2088
74	403	2080
75	408	2075
76	414	2071
77	419	2066
78	425	2063
79	431	2059
80	436	2053
81	442	2049
82	447	2045
83	453	2039
84	458	2032
85	463	2028
86	469	2023
87	475	2022
88	482	2022
89	489	2022
90	495	2018
91	501	2014
92	506	2010
93	512	2008
94	518	2002
95	523	1997
96	529	1991
97	534	1985
98	541	1986
99	548	1986
100	555	1985
101	560	1979
102	566	1974
103	573	1975
104	579	1970
105	585	1965
106	591	1961
107	597	1957
108	603	1953
109	609	1949
110	615	1945
111	621	1941
112	626	1936
113	632	1932
114	638	1926
115	644	1923
116	650	1918
117	656	1915
118	662	1910
119	668	1906
120	674	1901
121	681	1900
122	688	1898
123	695	1896
124	703	1896
125	709	1891
126	715	1886
127	721	1881
128	726	1875
129	732	1870
130	738	1865
131	744	1860
132	750	1855
133	755	1849
134	761	1843
135	767	1840
136	773	1834
137	779	1829
138	785	1824
139	793	1824
140	800	1822
141	806	1816
142	812	1811
143	818	1808
144	824	1803
145	830	1798
146	836	1792
147	842	1787
148	849	1784
149	856	1781
150	863	1778
151	871	1777
152	878	1775
153	885	1770
154	890	1764
155	897	1759
156	903	1754
157	909	1749
158	914	1743
159	920	1737
160	926	1732
161	932	1726
162	938	1721
163	944	1715
164	950	1710
165	956	1704
166	961	1699
167	967	1693
168	972	1686
169	978	1680
170	983	1674
171	989	1668
172	995	1663
173	1001	1657
174	1007	1652
175	1014	1648
176	1020	1643
177	1027	1638
178	1033	1634
179	1039	1628
180	1045	1622
181	1051	1617
182	1057	1611
183	1063	1606
184	1069	1601
185	1075	1595
186	1082	1591
187	1088	1586
188	1096	1583
189	1102	1578
190	1108	1573
191	1114	1567
192	1121	1562
193	1126	1556
194	1132	1550
195	1139	1545
196	1145	1540
197	1151	1534
198	1157	1529
199	1162	1523
200	1168	1517
201	1174	1512
202	1180	1506
203	1186	1501
204	1193	1496
205	1201	1492
206	1207	1487
207	1214	1482
208	1220	1476
209	1226	1471
210	1231	1465
211	1237	1459
212	1243	1453
213	1248	1447
214	1255	1441
215	1261	1436
216	1267	1430
217	1273	1424
218	1280	1420
219	1287	1416
220	1294	1412
221	1301	1407
222	1308	1401
223	1313	1395
224	1319	1390
225	1325	1384
226	1335	1382
227	1344	1379
228	1350	1374
229	1357	1369
230	1363	1363
231	1369	1358
232	1376	1352
233	1382	1346
234	1388	1341
235	1395	1336
236	1402	1331
237	1410	1327
238	1417	1322
239	1425	1318
240	1433	1314
241	1440	1309
242	1450	1307
243	1457	1301
