iter	Passed	Remaining
0	73	36064
1	99	24308
2	121	19775
3	144	17617
4	164	15966
5	185	14954
6	204	14128
7	222	13417
8	240	12856
9	255	12271
10	272	11881
11	288	11475
12	305	11199
13	322	10960
14	339	10752
15	357	10578
16	372	10352
17	388	10192
18	405	10062
19	421	9899
20	438	9782
21	456	9713
22	472	9599
23	490	9521
24	507	9435
25	526	9389
26	544	9344
27	562	9284
28	580	9221
29	596	9153
30	614	9099
31	631	9041
32	649	8992
33	665	8928
34	682	8874
35	699	8819
36	717	8781
37	732	8717
38	747	8645
39	764	8602
40	783	8581
41	799	8529
42	816	8483
43	832	8441
44	849	8396
45	866	8365
46	884	8340
47	903	8319
48	920	8286
49	937	8247
50	953	8203
51	969	8162
52	986	8136
53	1003	8098
54	1017	8047
55	1034	8020
56	1052	7996
57	1070	7974
58	1087	7946
59	1105	7922
60	1121	7888
61	1138	7862
62	1157	7848
63	1174	7818
64	1188	7769
65	1203	7734
66	1220	7706
67	1240	7695
68	1256	7668
69	1272	7632
70	1289	7607
71	1306	7583
72	1322	7552
73	1339	7528
74	1356	7507
75	1372	7476
76	1391	7461
77	1409	7445
78	1423	7405
79	1435	7358
80	1453	7338
81	1471	7319
82	1488	7300
83	1506	7279
84	1524	7262
85	1542	7244
86	1559	7222
87	1576	7201
88	1601	7216
89	1617	7190
90	1635	7172
91	1650	7141
92	1670	7129
93	1688	7114
94	1706	7094
95	1722	7068
96	1739	7049
97	1755	7021
98	1771	6996
99	1786	6966
100	1800	6935
101	1815	6904
102	1830	6879
103	1846	6854
104	1861	6823
105	1878	6806
106	1896	6789
107	1911	6761
108	1927	6738
109	1943	6715
110	1961	6698
111	1979	6681
112	1998	6666
113	2015	6646
114	2032	6628
115	2050	6611
116	2067	6592
117	2084	6570
118	2101	6551
119	2117	6529
120	2135	6512
121	2149	6483
122	2167	6466
123	2184	6448
124	2200	6425
125	2215	6399
126	2232	6381
127	2248	6358
128	2258	6320
129	2275	6301
130	2291	6280
131	2309	6264
132	2324	6238
133	2340	6217
134	2354	6191
135	2369	6166
136	2385	6145
137	2401	6126
138	2418	6107
139	2435	6089
140	2453	6072
141	2470	6053
142	2488	6038
143	2506	6021
144	2523	6004
145	2541	5987
146	2556	5966
147	2574	5948
148	2591	5931
149	2608	5913
150	2626	5896
151	2644	5879
152	2659	5857
153	2678	5843
154	2695	5826
155	2711	5804
156	2725	5780
157	2742	5761
158	2759	5743
159	2776	5726
160	2793	5709
161	2811	5692
162	2828	5673
163	2847	5660
164	2864	5643
165	2881	5624
166	2898	5605
167	2911	5580
168	2928	5562
169	2942	5539
170	2960	5523
171	2976	5502
172	2991	5480
173	3010	5467
174	3022	5441
175	3040	5425
176	3058	5407
177	3075	5390
178	3092	5373
179	3111	5358
180	3127	5339
181	3144	5321
182	3158	5298
183	3175	5281
184	3193	5265
185	3210	5246
186	3227	5229
187	3244	5211
188	3262	5196
189	3277	5174
190	3294	5156
191	3310	5138
192	3323	5114
193	3341	5097
194	3358	5080
195	3372	5059
196	3389	5041
197	3406	5023
198	3422	5004
199	3435	4982
200	3452	4964
201	3469	4947
202	3484	4926
203	3502	4909
204	3518	4891
205	3535	4874
206	3550	4853
207	3567	4837
208	3585	4820
209	3604	4806
210	3622	4789
211	3637	4770
212	3654	4753
213	3672	4736
214	3693	4724
215	3713	4710
216	3730	4692
217	3747	4676
218	3765	4659
219	3783	4643
220	3800	4626
221	3819	4611
222	3836	4593
223	3854	4576
224	3870	4559
225	3887	4541
226	3905	4525
227	3923	4508
228	3941	4492
229	3959	4476
230	3977	4459
231	3995	4442
232	4012	4426
233	4029	4408
234	4047	4391
235	4064	4374
236	4081	4356
237	4098	4339
238	4115	4322
239	4133	4305
240	4149	4287
241	4167	4270
242	4184	4253
243	4202	4237
244	4220	4220
245	4237	4203
246	4255	4186
247	4272	4169
248	4290	4152
249	4307	4135
250	4325	4118
251	4343	4101
252	4360	4085
253	4374	4064
254	4391	4047
255	4409	4030
256	4427	4013
257	4443	3996
258	4461	3979
259	4477	3961
260	4496	3945
261	4513	3927
262	4530	3910
263	4546	3892
264	4564	3875
265	4581	3858
266	4599	3841
267	4613	3821
268	4631	3804
269	4648	3787
270	4666	3771
271	4685	3755
272	4703	3738
273	4721	3721
274	4739	3705
275	4756	3688
276	4774	3671
277	4791	3654
278	4810	3637
279	4827	3620
280	4844	3603
281	4862	3586
282	4879	3569
283	4901	3555
284	4920	3539
285	4937	3521
286	4952	3502
287	4968	3484
288	4987	3468
289	5005	3452
290	5023	3435
291	5041	3418
292	5056	3399
293	5074	3383
294	5090	3364
295	5107	3347
296	5126	3331
297	5140	3311
298	5157	3294
299	5175	3277
300	5190	3259
301	5205	3240
302	5223	3223
303	5238	3205
304	5253	3186
305	5268	3168
306	5285	3150
307	5301	3132
308	5320	3116
309	5335	3098
310	5354	3081
311	5371	3064
312	5388	3047
313	5406	3030
314	5424	3013
315	5443	2997
316	5461	2980
317	5479	2963
318	5497	2946
319	5514	2929
320	5531	2912
321	5548	2894
322	5564	2877
323	5583	2860
324	5601	2843
325	5618	2826
326	5636	2809
327	5655	2793
328	5673	2776
329	5690	2759
330	5712	2744
331	5732	2728
332	5750	2711
333	5769	2694
334	5787	2677
335	5804	2660
336	5821	2643
337	5838	2625
338	5855	2608
339	5873	2591
340	5890	2574
341	5908	2556
342	5925	2539
343	5941	2521
344	5957	2504
345	5975	2487
346	5992	2469
347	6010	2452
348	6028	2435
349	6045	2418
