iter	RMSE
0	0.4365102293
1	0.4309610082
2	0.425179542
3	0.420489662
4	0.4168386667
5	0.412271908
6	0.4091819922
7	0.4054008563
8	0.4021897544
9	0.3995499336
10	0.3964855838
11	0.3938718435
12	0.3917026998
13	0.3897516583
14	0.3876729568
15	0.3857150231
16	0.3841442732
17	0.3822866872
18	0.3812788297
19	0.3799834507
20	0.3788306113
21	0.377582356
22	0.376756697
23	0.3759780085
24	0.3751518482
25	0.3743962322
26	0.3730158955
27	0.3718458476
28	0.3713785434
29	0.3709951516
30	0.3703897414
31	0.3696342977
32	0.3691357194
33	0.3686128358
34	0.3684046797
35	0.3678269273
36	0.3671688892
37	0.3668167539
38	0.3657725655
39	0.3653248329
40	0.3651738103
41	0.3648553266
42	0.3646723557
43	0.3643449237
44	0.3641585222
45	0.3635091869
46	0.3632779228
47	0.3630542318
48	0.3630383766
49	0.3627372279
50	0.3625608041
51	0.3625446834
52	0.3625253122
53	0.3623870059
54	0.3623572165
55	0.3621984089
56	0.362147002
57	0.3617983769
58	0.3616310154
59	0.3616105515
60	0.3613540873
61	0.3613362656
62	0.3613205689
63	0.3613066684
64	0.3612881521
65	0.3612734777
66	0.360915416
67	0.3608956659
68	0.3602257743
69	0.3602063455
70	0.3601782511
71	0.3600940271
72	0.3600745541
73	0.3600174219
74	0.3600022509
75	0.3599827017
76	0.3599749527
77	0.3599378128
78	0.359916764
79	0.3598834331
80	0.3598641981
81	0.3598143482
82	0.3597944414
83	0.3597757746
84	0.3597603897
85	0.3596367313
86	0.3596146442
87	0.3595916111
88	0.3595738199
89	0.3595570421
90	0.3595379259
91	0.3595233605
92	0.3592845327
93	0.3592652237
94	0.3592450895
95	0.3592265436
96	0.359206468
97	0.3591893643
98	0.3590808863
99	0.3590548572
100	0.3590387004
101	0.3590166065
102	0.3590002513
103	0.3589839294
104	0.3589656796
105	0.3589459158
106	0.3589251695
107	0.3589016047
108	0.3586197232
109	0.3586054169
110	0.3585885825
111	0.3585662796
112	0.3585472719
113	0.3585288259
114	0.358508529
115	0.3584918966
116	0.3584717436
117	0.3584182284
118	0.3583966929
119	0.3583651415
120	0.3583436128
121	0.3583211435
122	0.3583016932
123	0.358277399
124	0.3582567792
125	0.3582219434
126	0.3582028793
127	0.3581798296
128	0.3581602406
129	0.3581381193
130	0.3581170708
131	0.3580966941
132	0.3580745026
133	0.3580326572
134	0.3580117533
135	0.3579812958
136	0.3579512471
137	0.3579297427
138	0.3578999183
139	0.3578720982
140	0.3578356003
141	0.3578058871
142	0.3577690619
143	0.35773715
144	0.3577092517
145	0.3576841921
146	0.3576535147
147	0.3576039265
148	0.3575642979
149	0.3575316293
150	0.3574983016
151	0.357462626
152	0.3574297442
153	0.3573982223
154	0.3573645808
155	0.3568337157
156	0.3568050293
157	0.356765767
158	0.3567187091
159	0.3566792885
160	0.3566142773
161	0.3565737342
162	0.3565048984
163	0.3564622781
164	0.3555701717
165	0.35553241
166	0.3545908091
167	0.3545432003
168	0.3545076852
169	0.3544687004
170	0.3544263476
171	0.3543804409
172	0.3543116704
173	0.354270227
174	0.3534047671
175	0.3533678531
176	0.3533305411
177	0.3532603435
178	0.3525053325
179	0.3524650993
180	0.3524268524
181	0.352376303
182	0.3523138675
183	0.3517791933
184	0.3517090254
185	0.3516694919
186	0.3516298513
187	0.3515911213
188	0.3515500779
189	0.351480684
190	0.3514391912
191	0.3514011943
192	0.3513638268
193	0.3513253944
194	0.3506274691
195	0.3505895022
196	0.3505461944
197	0.3505040831
198	0.3497954287
199	0.3497577577
200	0.3496933521
201	0.3496556986
202	0.3496183217
203	0.3495732659
204	0.3495364292
205	0.3494999714
206	0.3494347583
207	0.3493980549
208	0.3493612999
209	0.3493011578
210	0.3487705558
211	0.3487322315
212	0.3486959632
213	0.3486595872
214	0.3486155406
215	0.348554121
216	0.3485180674
217	0.3477991314
218	0.347763699
219	0.3477276751
220	0.3476919159
221	0.347656372
222	0.3476209284
223	0.3475853241
224	0.3475498751
225	0.3475147923
226	0.3474797426
227	0.3474447975
228	0.3474096976
229	0.3473512378
230	0.3473164792
231	0.3472814932
232	0.3472465531
233	0.3465498305
234	0.3465151722
235	0.3464806595
236	0.3464444895
237	0.3464102281
238	0.3463760552
239	0.3463416467
240	0.3463078209
241	0.3462738418
242	0.3462399041
243	0.3462060371
244	0.3461723176
245	0.346138623
246	0.346105019
247	0.3460717136
248	0.3457217971
249	0.3456884619
250	0.3456335532
251	0.3455999859
252	0.3455661043
253	0.3455322882
254	0.3454985527
255	0.3454655601
256	0.3454319759
257	0.3453987883
258	0.3453656694
259	0.345332529
260	0.3452994582
261	0.3452664734
262	0.3452338216
263	0.3452005787
264	0.3451677625
265	0.3451346656
266	0.3451000861
267	0.3450674071
268	0.3444028478
269	0.344370085
270	0.344337421
271	0.3443048343
272	0.3442686338
273	0.3442357895
274	0.344203583
275	0.3441711639
