iter	Passed	Remaining
0	47	12984
1	94	12929
2	141	12921
3	187	12762
4	198	10758
5	245	11046
6	290	11168
7	336	11272
8	390	11580
9	443	11794
10	496	11955
11	541	11922
12	591	11956
13	643	12038
14	697	12140
15	753	12248
16	802	12233
17	853	12236
18	903	12223
19	951	12183
20	1001	12162
21	1049	12120
22	1100	12103
23	1131	11881
24	1179	11844
25	1230	11832
26	1285	11857
27	1337	11842
28	1386	11805
29	1435	11769
30	1485	11738
31	1533	11695
32	1585	11675
33	1635	11638
34	1683	11590
35	1731	11542
36	1778	11485
37	1824	11430
38	1871	11373
39	1918	11319
40	1968	11280
41	2017	11237
42	2065	11194
43	2114	11150
44	2163	11106
45	2211	11059
46	2259	11010
47	2312	10983
48	2362	10942
49	2413	10909
50	2466	10881
51	2522	10865
52	2573	10827
53	2622	10780
54	2670	10731
55	2719	10682
56	2773	10656
57	2829	10633
58	2881	10598
59	2930	10548
60	2978	10496
61	3026	10444
62	3074	10395
63	3123	10347
64	3173	10301
65	3224	10260
66	3275	10218
67	3324	10170
68	3374	10123
69	3423	10073
70	3472	10025
71	3522	9979
72	3570	9928
73	3618	9878
74	3666	9826
75	3714	9775
76	3729	9639
77	3777	9589
78	3825	9539
79	3876	9498
80	3936	9476
81	3989	9438
82	4039	9392
83	4088	9346
84	4136	9294
85	4191	9259
86	4247	9226
87	4296	9178
88	4345	9130
89	4395	9083
90	4444	9035
91	4493	8987
92	4542	8938
93	4590	8888
94	4647	8853
95	4708	8827
96	4762	8788
97	4826	8766
98	4891	8744
99	4948	8709
100	4966	8605
101	5022	8567
102	5085	8541
103	5138	8498
104	5191	8455
105	5249	8419
106	5313	8392
107	5379	8367
108	5443	8340
109	5507	8311
110	5570	8280
111	5630	8244
112	5686	8202
113	5740	8157
114	5792	8108
115	5846	8063
116	5900	8018
117	5952	7970
118	6019	7941
119	6071	7892
120	6121	7841
121	6172	7791
122	6221	7738
123	6277	7695
124	6342	7661
125	6400	7620
126	6460	7580
127	6517	7536
128	6573	7491
129	6635	7452
130	6693	7408
131	6750	7364
132	6801	7313
133	6851	7260
134	6900	7207
135	6949	7153
136	6998	7100
137	7052	7052
138	7098	6996
139	7145	6941
140	7193	6887
141	7240	6832
142	7287	6777
143	7334	6723
144	7381	6668
145	7427	6613
146	7474	6559
147	7520	6504
148	7576	6457
149	7631	6410
150	7680	6357
151	7725	6302
152	7772	6248
153	7818	6193
154	7864	6139
155	7911	6085
156	7958	6032
157	8004	5977
158	8053	5926
159	8102	5874
160	8151	5822
161	8199	5770
162	8246	5716
163	8295	5665
164	8342	5611
165	8388	5558
166	8436	5506
167	8484	5454
168	8531	5401
169	8577	5348
170	8625	5296
171	8673	5244
172	8725	5195
173	8779	5146
174	8832	5097
175	8881	5046
176	8929	4994
177	8976	4942
178	9024	4890
179	9072	4838
180	9121	4787
181	9170	4736
182	9217	4684
183	9267	4633
184	9312	4580
185	9359	4528
186	9406	4476
187	9452	4424
188	9499	4372
189	9544	4320
190	9591	4268
191	9638	4216
192	9685	4165
193	9733	4114
194	9782	4063
195	9828	4011
196	9874	3959
197	9921	3908
198	9968	3857
199	10016	3806
200	10063	3755
201	10110	3704
202	10158	3653
203	10204	3601
204	10251	3550
205	10296	3498
206	10345	3448
207	10393	3397
208	10439	3346
209	10486	3295
210	10535	3245
211	10581	3194
212	10629	3143
213	10675	3092
214	10721	3041
215	10767	2990
216	10813	2940
217	10862	2889
218	10908	2839
219	10954	2788
220	11001	2738
221	11048	2687
222	11095	2636
223	11142	2586
224	11191	2536
225	11238	2486
226	11289	2436
227	11335	2386
228	11382	2336
229	11429	2285
230	11477	2235
231	11523	2185
232	11571	2135
233	11616	2085
234	11664	2035
235	11710	1984
236	11757	1934
237	11803	1884
238	11851	1834
239	11897	1784
240	11946	1734
241	11993	1685
242	12041	1635
243	12091	1585
244	12141	1536
245	12188	1486
246	12239	1437
247	12288	1387
248	12337	1337
249	12384	1287
250	12432	1238
251	12480	1188
252	12527	1138
253	12574	1089
254	12623	1039
255	12670	989
256	12717	940
257	12765	890
258	12811	840
259	12858	791
260	12903	741
261	12950	692
262	12997	642
263	13043	592
264	13090	543
265	13137	493
266	13185	444
267	13233	395
268	13282	345
269	13329	296
270	13387	247
271	13452	197
272	13502	148
273	13549	98
274	13595	49
275	13642	0
